EMPLOYER_NAME,INITIAL_APPROVALS,TOTAL_APPLICATIONS,MEDIAN_SALARY,TOP_JOB_TITLE,TOP_STATE,APPROVAL_RATE
"Genesis Construction Management, LLC",1,1,43243,Executive Assistant,MO,100.0
"Genesis Capital, LLC.",1,1,175000,"Vice President, Head of Application Development",CA,100.0
"Genesis Capital, LLC",1,1,90000,Credit Underwriter,CA,100.0
Genesis Brand Management LLC,1,1,72155,PR Associate,NY,100.0
"Genesee & Wyoming Railroad Services, Inc.",1,1,120290,Data Warehouse Architect,NY,100.0
Genesco Inc. ,1,1,120000,Sr. Development Engineer,TN,100.0
Genesco Inc,1,1,201802,"Systems Sr. Director - Portal, Salesforce Genesys, OMS, ESB",TN,100.0
Generex Systems Inc,1,1,67558,Sales Engineer,NC,100.0
Generator Media and Analytics,1,1,95000,Senior Marketing Data Analyst,IL,100.0
Geeth Limited Liability Co.,1,1,112923,Data Engineer,TX,100.0
Geerdes and Kim LLC,1,1,120000,Associate Attorney,NY,100.0
"Gecko Robotics, Inc. ",1,1,220000,Software Engineer,PA,100.0
Garda Capital Partners LP,1,1,193003,Senior Risk Analyst,NY,100.0
"Garcia Family Farm, LLC",1,1,62067,Director of Nutrition Services,FL,100.0
"Garage Technologies, Inc.",1,2,160000,Founding Engineer,NY,50.0
"Gap Intelligence Holdings, Inc.",1,1,150000,Data Scientist (Economist),CA,100.0
Gao Law P.C.,1,1,72000,Law Clerk,CA,100.0
"Gannett Fleming Valuation and Rate Consultants, LLC",1,1,59176,"Assistant Analyst I, Valuation & Rates",PA,100.0
Ganglani DMD PLLC,1,1,202000,Dentist,NC,100.0
"Ganesha International, Inc.",1,1,67900,Business Development Specialist,CA,100.0
"Ganem Construction, LLC",1,1,110000,Project Manager,AZ,100.0
Gandy Squared Lighting Design,1,1,82000,Senior Lighting Designer,TX,100.0
Gandhi LLC,1,1,250000,Dentist,SC,100.0
"GanaIT,Inc",1,1,87651,Software Developer,AZ,100.0
GanaIT Inc,1,1,91291,Software Developer,NC,100.0
Gamma USA Inc,1,1,78720,Industrial Designer,NJ,100.0
"Gamma Tech, Inc.",1,1,190000,Design Engineer,CA,100.0
Gamma Scientific Inc.,1,1,148000,Systems Engineer,CA,100.0
"Gameto, Inc.",1,1,98204,Marketing and Operations Coordinator,TX,100.0
Gamelan Sekar Jaya,1,1,72800,Guest Artist,CA,100.0
GameChange Solar Corp.,1,1,99663,Mechanical Engineer,MA,100.0
"Gamble Associates, LLC",1,1,86528,Urban Designer,MA,100.0
Galvanize Climate Solutions LLC,1,1,140000,Analyst,NY,100.0
Gallop Global Inc.,1,1,72000,Public Relations Specialist,MA,100.0
Gallo Construction Corp,1,1,65562,17-2051.00 ”” Civil Engineers,NY,100.0
Galaxy3 LLC,1,1,65000,IT System Engineer,NY,100.0
Galaxy Solutions Inc.,1,1,95000,Software Programmer,NY,100.0
Galaxy Solutions Inc,1,1,124592,Computer Programmer,CA,100.0
Galaxy Global International LLC,1,1,72530,Computer Network Specialist,GA,100.0
"Galatea Associates, LLC",1,1,172744,Senior Software Developer,MA,100.0
Garcia Heart and Vascular LLC,1,1,226000,Interventional Cardiologist,TX,100.0
"Garden of Hope, Inc",1,1,60255,Social Worker,NY,100.0
"Gecko Robotics, Inc.",1,1,175000,Machine Learning Engineer,MA,100.0
Gardiner & Theobald LLC,1,1,148930,Associate Director Cost Management,CA,100.0
"Gebra AI, Inc.",1,1,199534,Founding Software Engineer,CA,100.0
GeGa IT Solutions Inc,1,1,85000,Senior Software Engineer,FL,100.0
Gayville-Volin School District 63-1,1,1,45689,Physical Education Teacher,SD,100.0
"Gawfco Enterprises, Inc.",1,1,223454,Controller,CA,100.0
"Gavin & Brown, PLLC",1,1,51563,LAW CLERK/PARALEGAL,NV,100.0
Gavan-Graham Electrical Products Corp.,1,1,105000,Electrical Design Engineer,NJ,100.0
"Gatsby Labs, Inc.",1,1,141856,Chief of Staff,TX,100.0
Gatri Labs Inc.,1,1,129667,Senior Software Engineer,CA,100.0
"Gator Bio, Inc.",1,1,133515,Regional Sales Manager,MA,100.0
"Gather Presence, Inc.",1,1,219440,"Manager, Software Engineering",NY,100.0
"Gather AI, Inc.",1,1,89918,Solutions Engineer,TN,100.0
Gateways Hospital and Mental Health Center,1,1,75000,Financial Planning and Medical Data Analyst,CA,100.0
"Gated Rentals GP, LLC and Subsidiaries",1,1,68000,Accountant,TX,100.0
Gaston College,1,1,65004,Instructor- Textile Technology,NC,100.0
Gastineau Human Services Corporation,1,1,70242,Masters Level Counselor,AK,100.0
Garrison Memorial Hospital,1,1,66082,Medical Laboratory Scientist,ND,100.0
Garonit Pharmaceutical Inc.,1,1,160000,"Manager, Engineering Operations",NJ,100.0
"Garney Companies, Inc.",1,1,80000,Project Engineer,VA,100.0
Garnett DePasquale Projects LLC,1,1,76000,Architectural Designer,NY,100.0
"Garland Ventures, Ltd.",1,1,65000,Marketing Associate,TX,100.0
Garland K. Davis DDS,1,1,186826,Associate Dentist,MD,100.0
Garhwal LLC,1,1,150000,Computer Systems Analyst,WA,100.0
"Garg and Associates, Inc.",1,1,62650,Business Analyst,FL,100.0
Garg & Debnath LLC,1,1,208000,Associate Dentist,MA,100.0
Garfield School District Re-2,1,1,44790,Spanish Teacher,CO,100.0
Gardner Resources Consulting LLC,1,1,250000,Principal Data Scientist and Innovation Lead,GA,100.0
Gardner Denver Petroleum Pumps LLC,1,1,140005,"IT Manager, Information Systems",TX,100.0
Genova Technologies,1,1,110000,Software Developer IV,IA,100.0
"Genpact, LLC",1,1,130000,Senior Manager,GA,100.0
Global Executive Council Services,1,1,85000,Data Scientist,IL,100.0
Givaudan Flavors Corporation,1,1,139000,Senior Scientist I,OH,100.0
"Gleason Industrial Products, Inc.",1,1,105000,Senior Accountant,CA,100.0
"Glazer Capital, LLC",1,1,200000,Senior Software Engineer,NY,100.0
Glazer Capital LLC,1,1,160000,Software Engineer (Operations Analytics & Automation),NY,100.0
Glatt Air Techniques Inc.,1,1,103246,Project Manager,NJ,100.0
"GlassRatner Advisory & Capital Group, LLC",1,1,100000,Senior Associate,CA,100.0
"Glass Management Services, Inc.",1,1,129000,Project Engineer II,IL,100.0
"Glass Imaging, Inc. ",1,1,162000,Software Engineer,CA,100.0
"Glass Imaging, Inc",1,1,160000,Technical Project Manager,CA,100.0
"Glance InMobi, Inc.",1,1,314500,"Director of Product Marketing, Glance AI",NY,100.0
"Glanbia Nutritionals (NA), Inc.",1,1,198266,Sr. Product Strategic Management Director,CA,100.0
"Gladly Software, Inc.",1,1,226510,Staff Data Engineer,CA,100.0
Gladiator Tennis LLC,1,1,160000,Chief Technology Officer (CTO),IL,100.0
Glad Power LLC,1,1,95202,Software Developer,IN,100.0
Giteshu Inc.,1,1,72000,Culinary Manager,NC,100.0
Genpx Inc,1,1,119000,Information Technology Manager,NC,100.0
"Girls Write Now, Inc.",1,1,85000,Senior Community Manager,NY,100.0
"Girikon, Inc",1,1,113000,Software Developer,TX,100.0
Giorgio Armani Corporation,1,1,75000,Design Consultant,CA,100.0
"Ginsey Industries, Inc.",1,1,71772,Demand Planner Analyst,NJ,100.0
Ginetech Labs LLC,1,1,95493,Software Developer,NJ,100.0
Gilsanz Murray Steficek LLP Engineers and Architects,1,1,78000,structural/civil engineer,NY,100.0
Gilman Montessori Academic LLC,1,1,59218,Instructional Coordinator,WA,100.0
"Gilgamesh Pharmaceuticals, Inc.",1,1,270000,Sr. Director Pharmacology,MA,100.0
Gilbraltar Fabrication LLC,1,1,110000,Mechanical Design Engineer,TX,100.0
"Gilbert May, Inc.",1,1,95763,Project Engineer,TX,100.0
Gigware LLC,1,1,131997,Head Of Product DevOps Engineering,NY,100.0
Gigs Wireless LLC,1,1,225000,Business Operations,CA,100.0
Gigacloud Technology (USA) Inc.,1,1,300000,Chief Financial Officer,CA,100.0
Glemser Technologies Corporation,1,1,159500,Digital Quality Product Owner,PA,100.0
Glen Cove Mansion Hospitality LLC,1,1,102232,Real Estate Analyst,NY,100.0
Glendale Community College District,1,1,87445,Programmer Analyst,CA,100.0
Glendale Elementary School District,1,1,50000,Teacher,AZ,100.0
Global Engineering Resources LLC,1,1,98426,Program Manager,MI,100.0
"Global Endowment Management, LP",1,1,80000,"Analyst, Investment Services",NC,100.0
Global E Trading LLC,1,1,101700,Software Developer,FL,100.0
Global Detroit,1,1,64480,Management Analyst - Entrepreneurship & Data Strategy,MI,100.0
"Global Data Publications, Inc.",1,1,90563,Editor,NY,100.0
Global Data Publications Inc. ,1,1,82763,Consultant,NY,100.0
Global DB Solutions Inc,1,2,87500,Robotics Engineer,NY,50.0
"Global Crossing Airlines, Inc.",1,1,105000,Financial Analyst,FL,100.0
"Global Courier Express, Inc.",1,1,62400,Accountant,CA,100.0
Global Connect Technologies Inc,1,1,89669,Manufacturing Engineer,OH,100.0
Global Compliance Partners LLC,1,1,145000,Principal Formulation Scientist,CA,100.0
"Global Cloud Solutions, Inc.",1,1,95000,Software Developer Engineer,NY,100.0
Global Cleveland,1,1,81994,Program Training and Development Manager,OH,100.0
"Global Civil Solutions, LLC",1,1,98000,Software Developer,TX,100.0
"Global Choices, Inc.",1,1,85000,Sr. Market Research Analyst,IL,100.0
Global Center for Autism Services LLC,1,2,145600,Board Certified Behavior Analyst,MD,50.0
Global Care Dialysis Consultancy LLC,1,1,74277,Management Analyst,CA,100.0
"Global CFS, Inc. ",1,1,65000,Account Manager,IL,100.0
"Global Behavior Therapy Associates, LLC",1,1,110000,Software Engineer,TX,100.0
Global Analytical Development LLC ,1,1,150000,Senior Manager Regulatory Affairs,CA,100.0
"Global Action to End Smoking, Inc.",1,1,240000,Chief Development Officer,NY,100.0
"Global Action Alliance, Inc",1,1,120000,Data Scientist,VA,100.0
Glioblastoma Foundation Inc.,1,1,55224,Medical Scientist Level I,NC,100.0
"Glimmer Technology, Inc.",1,1,187741,Software Engineer,CA,100.0
"Glidepath Holdings, Inc.",1,1,99549,Senior Data Developer,OH,100.0
Glenmore Industries LLC,1,1,79789,Mainstream E-Commerce Marketplace Specialist,NJ,100.0
Glendale Elementary School District No. 40,1,1,55250,Teacher,AZ,100.0
Gigabyte Technologies LLC,1,1,119933,Salesforce Product Owner,TX,100.0
"GigaIO Networks, Inc.",1,1,126880,Staff DevOps Automation Engineer,CA,100.0
Giga Computing Technology Inc,1,1,48880,Business Development Analyst,CA,100.0
Georgia Nut Company,1,1,80000,Quality Assurance Engineer,IL,100.0
Georgia Healthcare Alternatives,1,1,24960,Patient Care Assistant,GA,100.0
"Georgia Green Power, Inc.",1,1,111363,Cloud Network Engineer,GA,100.0
Georgia Department of Natural Resources - Environmental Protection Division,1,1,64064,Environmental Engineer 2,GA,100.0
Georgia Department of Driver Services,1,1,99500,Developer 3,GA,100.0
Georgia Department of Behavioral Health and Developmental Disabilities - Georgia Regional Hospital-Atlanta,1,1,200000,Psychiatrist,GA,100.0
"Georgia Bone & Joint, LLC ",1,1,88483,Physical Therapist,GA,100.0
"George R. Willy, P.C.",1,1,78000,Client Liaison Specialist,TX,100.0
George Fox University,1,1,83606,Assistant Professor of Counseling,OR,100.0
George F Young Inc,1,1,97094,Project Engineer,FL,100.0
"Geoponic Enterprises, LLC",1,1,60362,Farm Manager,IN,100.0
Geomentric America,1,1,76835,Mechanical Drafter - III,WI,100.0
Geolog Americas Inc.,1,1,67410,Field Specialist,TX,100.0
Geolabe LLC,1,1,120000,DATA SCIENTIST,NM,100.0
Geographic Technologies Group Inc.,1,1,85000,Telecom Specialist,NC,100.0
"Geographic Solutions, Inc.",1,1,116754,Senior Systems Integration Analyst,FL,100.0
Geoculus Inc.,1,1,90000,Land Surveyor,CA,100.0
"Geocomply USA, Inc",1,1,190486,Senior Product Manager,WA,100.0
Geocomp Corp,1,2,1153656,Geotechnical Project Engineer,NY,50.0
GeoTek Operations Limited,1,1,74110,Staff Professional,NV,100.0
"GeoScience Engineers, LLC",1,1,90000,Construction Materials Project Manager - I,TX,100.0
"GeoNexus Technologies, LLC",1,1,200000,Vice President of Software Engineering,FL,100.0
"GeoCue Group, Inc.",1,1,119600,SLAM/Robotics Engineer,AL,100.0
"Geo-Technology Associates, Inc.",1,1,80000,Assistant Project Manager II,NC,100.0
Genuardi Master Tailor llc,1,1,70262,Fashion Designer,NJ,100.0
Genuardi Master Tailor,1,1,77730,Fashion Designers,NJ,100.0
Gentis Solutions LLC,1,1,110240,Quality Assurance - Automation,OH,100.0
Genslogiques LLC,1,1,149718,Senior Software Engineer,TX,100.0
"Georgia Heart Institute, LLC",1,1,500000,Physician,GA,100.0
Georgia Southern University,1,1,135000,Professor of Marketing,GA,100.0
Gig Forces Inc,1,1,94578,UX Designer,MA,100.0
Georgia-Cumberland Conference of Seventh-day Adventists,1,1,69648,Pastor,GA,100.0
Gift of Life Donor Program,1,1,344258,Recovery Surgeon,PA,100.0
Gifford Medical Center Inc.,1,1,79456,Operating Room Registered Nurse,VT,100.0
Gibson Engineering Company Inc.,1,1,92943,Automation Sales Engineer,MA,100.0
"Gibney Consulting, LLC",1,1,180003,Manager,CA,100.0
"Giant Eagle, Inc.",1,1,100000,Data Engineer,NC,100.0
"Giammalva Tennis, Inc.",1,1,47653,Operations Manager,TX,100.0
"Ghilotti Bros., Inc.",1,1,220000,Project Engineer,CA,100.0
Geyer Coburn Hutchins LLC,1,1,146924960,Landscape Designer,WA,100.0
"Gevo, Inc.",1,1,165000,Ethanol Plant Engineer,CO,100.0
Getech Law LLC,1,1,145600,Public Relations Specialist,IL,100.0
Getaround Operations LLC,1,1,100000,Senior Data Analyst,DC,100.0
"Getac, Inc.",1,1,83000,Accounting & Finance Associate,CA,100.0
Get Well Medical Center Management PLLC,1,1,230000,Chief Medical Officer,MI,100.0
"Get Real Labs, Inc.",1,1,160000,Machine Learning Engineer II,GA,100.0
Get Covered LLC,1,1,200000,Full Stack Software Engineer,UT,100.0
Get Applaud Inc.,1,1,180000,Product Designer,CA,100.0
Gestra USA Inc.,1,1,93004,Technical Engineer,SC,100.0
"Gestamp Chattanooga II, LLC",1,1,157578,Continuous Improvement Manager,TN,100.0
Gestalt Tech Corp,1,1,140000,Date Engineer,TX,100.0
"Gessner Engineering, LLC",1,2,76875,Integrated Geotechnical Consultant,TX,50.0
Gertler & Wente Architects LLP,1,1,70000,Interior Designer,NY,100.0
"Gerson Preston Klein Lips Eisenberg & Gelber, P.A.",1,1,76000,Audit Associate,FL,100.0
"Germantown Christian Counseling Center, Inc.",1,1,85000,Counselor,TN,100.0
"Germane Nephrology Associates, S.C.",1,1,275000,Nephrologist,IL,100.0
"Geriti, Inc.",1,1,101421,BWise Product Consultant,VA,100.0
Gerber Products Company,1,1,121253,Sr Specialist Electrical Engineering,MI,100.0
Georgia-Pacific Savannah River LLC,1,1,96000,Quality Engineer-KBGFJG270743-2,GA,100.0
"Hydro, Inc.",1,1,76000,Mechanical Engineer,IL,100.0
HydroAir Hughes LLC,1,1,87184,Operations Engineer,MD,100.0
HydroGraph USA Ltd,1,1,109158,Application Scientist,TX,100.0
K Party Inc,1,1,51542,Creative Designer,NY,100.0
K2 Development Group,1,1,78000,Mechanical Engineer,CA,100.0
"K.R. Komarek, Inc.",1,1,112184,Technical Services Engineer,IL,100.0
K.K.M CPA ASSOCIATES PLLC,1,1,100000,ACCOUNTANT,NY,100.0
K. Max Engineering Inc,1,1,75000,Engineer Intern (Civil Engineering),CO,100.0
"K. M. Air Conditioning, Inc.",1,1,103000,Market Research Analyst,TX,100.0
K-Swiss Inc.,1,1,165630,International Legal Director,CA,100.0
K-Star Asset Management LLC,1,1,135000,"Professional, Direct Lending Senior Analyst",TX,100.0
"K-Source, Inc.",1,2,75629,Enterprise Solution Architect,TN,50.0
K&N Engineering Inc.,1,1,130000,Business Intelligence Architect,CA,100.0
K&L Gates LLP,1,1,320000,Associate Attorney,CA,100.0
K&K Inc.,1,1,92000,Electrical Engineer,TX,100.0
K TEK SOFT INC.,1,1,120000,IT PROJECT MANAGER,AR,100.0
"K State Athletics, Inc.",1,1,53000,Assistant Women's Tennis Coach,KS,100.0
"K N K PETROLEUM, INC.",1,1,96491,Accountant,CA,100.0
"KENTUCKIANA CURB COMPANY, INC.",1,1,110000,CPQ Solutions Developer,KY,100.0
"K & K Technical Group, Inc.",1,1,83200,PowerTrain Engineer,TN,100.0
"K & I ARCHITECTS AND INTERIORS, LLC",1,1,80000,ARCHITECTURAL JOB CAPTAIN,AZ,100.0
"Jyothsna Reddy Sabalam, DMD, Inc.",1,2,120000,GENERAL DENTIST,CA,50.0
Justice Ventures International,1,1,54005,South Asia Legal Consultant/Research Assistant,MD,100.0
JustiGuide Inc,1,1,172640000,Senior Software Engineer,CA,100.0
Justi Group Inc,1,1,160000,Business Development Manager,PA,100.0
Jusda Supply Chain Management Corporation,1,1,73174,Business Intelligence Analyst,CA,100.0
"Juris Path Law Firm, PC",1,1,112070,Attorney,CA,100.0
"Jurado & Associates, P.A.",1,1,122179,Associate Attorney,FL,100.0
"Jura Pentium, Inc.",1,1,200000,Senior Data Engineer,NY,100.0
"Jupiter Software Solutions, LLC.",1,1,126100,Java Application Developer,VA,100.0
Jupiter Research Services Inc.,1,1,210000,Clinical Supply Manager,NJ,100.0
Jupiter Research Inc.,1,1,120000,Quantitative Financial Analyst,NY,100.0
"K2 INTEGRITY HOLDINGS, INC. F/K/A K2/FIN HOLDINGS, INC.",1,1,75000,Anti-Money Laundering (AML) Associate,DC,100.0
"K2View, LLC",1,1,100752,Software Implementer,TX,100.0
K9 Sys Inc.,1,1,102190,Software Engineer,OH,100.0
KAGR LLC,1,1,91000,Client Services Manager,MA,100.0
KENFILL TECHNO SOLUTIONS LLC.,1,1,106000,DATA ENGINEER,TX,100.0
KEMNAY ADVISORY SERVICES INC.,1,1,135000,DATA ENGINEER,NY,100.0
KEMET Electronics Corporation,1,1,176167,Associate Director ERP Applications & Supply Chain Architect,FL,100.0
"KDM Engineering, PLLC",1,1,155000,Substation Lead,IL,100.0
"KDK Construction, LLC",1,1,85000,Architectural Designer,UT,100.0
KDIfotech,1,1,150000,Web DevOps Technical Project Manager,CA,100.0
"KCS Architects, LLC",1,1,64000,Architectural Professional staff,NH,100.0
"KCM CONTRACTING, INC.",1,1,75254,PUBLIC RELATIONS SPECIALIST,NY,100.0
"KCE Structural Engineers, PC",1,1,90938,Structural Engineer,DC,100.0
KCA Tax Services LLC,1,1,66560,Financial Analyst,PA,100.0
KCA CENTRAL PA LLC,1,1,31200,Associate,PA,100.0
KBS International LLC,1,1,150000,Business Development Specialist,NJ,100.0
"KBR Wyle Services, LLC",1,1,111999,Systems Engineer III,NC,100.0
"KATO DESIGN, INC.",1,1,78333,Intern Architect,MA,100.0
KASSIN SABBAGH REALTY LLC,1,1,125000,Financial Analyst,NY,100.0
KARV IT SOLUTIONS LLC,1,1,97700,Software Developer,MD,100.0
KARSUN SOLUTIONS LLC.,1,1,165000,Full Stack Developer,NC,100.0
KARIERA TECH LLC,1,1,84096,SAP SCM ANALYST,TX,100.0
KANTAR LLC,1,1,223600,"VICE PRESIDENT, CLIENT LEADERSHIP",NY,100.0
"KANSAS HEALTH INFORMATION NETWORK, INC",1,1,106704,SYSTEMS DATA ANALYST,CA,100.0
KANSAS ELEMENTARY SCHOOL DISTRICT,1,1,46800,ELEMENTARY SCHOOL TEACHER,KS,100.0
KANHI SYSTEMS LLC,1,1,108160,Application Developer,GA,100.0
KANE COUNTY HUMAN RESOURCES SPECIAL SERVICE DISTRICT,1,1,73653,MEDICAL TECHNOLOGIST,UT,100.0
KANAK EXPORTS INDIA LLC,1,1,163030,Chief Marketing and Sales Officer,IN,100.0
KAN-WIN,1,1,58760,Caseworker/Program Coordinator,IL,100.0
KALANTRY LLP,1,1,71136,JUNIOR ACCOUNTANT,NY,100.0
"KAIGENE, INC",1,1,70000,Research Associate,MD,100.0
Jupiter Aluminum Corporation,1,1,85467,Web Developer,IN,100.0
Junyfore Music,1,1,114400,Piano Instructor,CA,100.0
Junto Capital Management LP,1,1,180000,Quantitative Research Analyst,NY,100.0
Journey Corporate Holdings LLC,1,1,110972,Senior Lighting Manager,NY,100.0
Jost Chemical Company,1,1,136430,SharePoint Engineer and Developer,MO,100.0
Joshi & Associates LLC,1,1,116293,Associate Dentist,MD,100.0
Joseph Law Firm,1,1,93200,Associate Attorney,CO,100.0
Joseph Edward Vance,1,1,89000,Project Manager,NY,100.0
"Jordon Construction Company, LLC",1,1,135000,Project Manager,SC,100.0
"Jordan Transformer, LLC",1,1,76898,Electrical Design Engineer,MN,100.0
Jordan Power And Equipment Company,1,1,65000,Accountant,OH,100.0
"Jordan Montessori School, LLC",1,1,55120,Kindergarten Teachers,TX,100.0
Jordan Knighton Architects Inc.,1,1,70730,Deisgner I,CA,100.0
"Jordan Health Care, Inc.",1,1,120000,Senior Financial Analyst,TX,100.0
"Joon App, Inc.",1,1,130250,Software Engineer,CA,100.0
"Jones Haydu, Inc.",1,1,79768,Job Captain,CA,100.0
